**** BEGIN LOGGING AT Sat Oct 22 09:26:56 2016

[LoverGuy has address Chat@love.friendship.faith.trust.peace.bliss]
Oct 22 09:26:56 <LoverGuy>	hi rf
Oct 22 09:43:05 <LoverGuy>	yeah
Oct 22 09:43:11 <LoverGuy>	he makes shayris etc
Oct 22 09:43:17 <RammsteinFan>	i see
Oct 22 09:43:26 <RammsteinFan>	yes ive seen some of it
Oct 22 09:43:54 <LoverGuy>	did she say hi to everyone?
Oct 22 09:43:59 <RammsteinFan>	just seems a bit odd to me him doing it in main
Oct 22 09:44:03 <RammsteinFan>	no she didnt
Oct 22 09:44:14 <RammsteinFan>	do you know OyeHoye?
Oct 22 09:44:25 <LoverGuy>	yeah.. seen him sometimes
Oct 22 09:44:29 <LoverGuy>	indian
Oct 22 09:44:35 <RammsteinFan>	she was talking to him
Oct 22 09:44:46 <LoverGuy>	indian, right?
Oct 22 09:44:55 <RammsteinFan>	yes
Oct 22 09:45:02 <LoverGuy>	he was here?
Oct 22 09:45:07 <LoverGuy>	in trivia?
Oct 22 09:45:08 <RammsteinFan>	yeah in trivia room
Oct 22 09:45:09 <RammsteinFan>	yes
Oct 22 09:45:11 <LoverGuy>	wow
Oct 22 09:45:13 <LoverGuy>	playing?
Oct 22 09:45:18 <RammsteinFan>	not much
Oct 22 09:45:29 <LoverGuy>	hmmm
Oct 22 09:45:33 <RammsteinFan>	she was playing and he came in and she said hi to him
Oct 22 09:45:44 <LoverGuy>	ok...
Oct 22 09:45:51 <LoverGuy>	he's an old time icq guy
Oct 22 09:46:00 <LoverGuy>	lot of nonsense
Oct 22 09:46:10 <RammsteinFan>	ok
Oct 22 09:46:20 <RammsteinFan>	nonsense?
Oct 22 09:46:25 <LoverGuy>	yeah
Oct 22 09:46:39 <LoverGuy>	he just keeps babbling nonsense on the mains
Oct 22 09:46:59 <RammsteinFan>	ok
Oct 22 09:50:03 <RammsteinFan>	she isnt playing though
Oct 22 09:51:36 <LoverGuy>	shows she's been silent for more than 45 mins
Oct 22 09:51:37 <RammsteinFan>	she quit?
Oct 22 09:51:42 <LoverGuy>	nope
Oct 22 09:51:46 <LoverGuy>	just away
Oct 22 09:51:46 <RammsteinFan>	she not there naymore
Oct 22 09:52:05 <LoverGuy>	oh yes
Oct 22 09:52:08 <LoverGuy>	she quit
Oct 22 09:52:15 <LoverGuy>	pinged out i guess
Oct 22 09:52:21 <LoverGuy>	for being away for too long
Oct 22 09:52:24 <RammsteinFan>	yeah i guess
Oct 22 09:54:11 <RammsteinFan>	so what do you do all day there?
Oct 22 09:54:25 <LoverGuy>	thinking
Oct 22 09:54:35 <LoverGuy>	wondering where to go next
Oct 22 09:54:42 <RammsteinFan>	ok
Oct 22 09:54:50 <LoverGuy>	this is the last point where i can get access to net or mobile
Oct 22 09:54:59 <RammsteinFan>	i see
Oct 22 09:55:17 <RammsteinFan>	did you get reservation?
Oct 22 09:55:35 <LoverGuy>	not yet.. i will next week
Oct 22 09:56:12 <RammsteinFan>	i hope you dont get it
Oct 22 09:56:18 <RammsteinFan>	and you come back
Oct 22 09:57:12 <LoverGuy>	nope.. pls don't hope or wish so
Oct 22 09:57:53 <RammsteinFan>	hmm ok
Oct 22 09:57:59 <RammsteinFan>	you should come back
Oct 22 09:58:02 <LoverGuy>	i will
Oct 22 09:58:06 <RammsteinFan>	i think so
Oct 22 09:58:09 <RammsteinFan>	when?
Oct 22 09:58:15 <LoverGuy>	as i said, i and she are meant to be together
Oct 22 09:58:21 <LoverGuy>	it's just a matter of time
Oct 22 09:58:26 <LoverGuy>	i will
Oct 22 09:58:34 <RammsteinFan>	ok
Oct 22 09:58:46 <RammsteinFan>	i will be waiting for you to come bacl
Oct 22 09:58:48 <RammsteinFan>	back*
Oct 22 09:58:48 <LoverGuy>	he will make me do things that i ought to do, and then i'll be back
Oct 22 09:58:50 <LoverGuy>	:)
Oct 22 09:58:51 <LoverGuy>	i know
Oct 22 09:58:57 <LoverGuy>	i will
Oct 22 09:59:01 <RammsteinFan>	good :)
Oct 22 10:21:56 <LoverGuy>	love hurts
Oct 22 10:21:58 <LoverGuy>	a lot
Oct 22 10:23:12 <RammsteinFan>	yes dude
Oct 22 10:23:21 <RammsteinFan>	take care ok?
Oct 22 10:25:54 <LoverGuy>	YEAH
Oct 22 10:33:01 <LoverGuy>	gtg now
Oct 22 10:33:33 <RammsteinFan>	ok buddy
Oct 22 10:33:38 <RammsteinFan>	take care now ok :)
Oct 22 10:33:43 <LoverGuy>	i hope to
Oct 22 10:33:46 <RammsteinFan>	and hope for the best!
Oct 22 10:33:49 <LoverGuy>	yes
Oct 22 10:33:56 <LoverGuy>	it's in His hands
Oct 22 10:34:16 <RammsteinFan>	yes
Oct 22 10:35:02 <LoverGuy>	pls pray for me and her
Oct 22 10:35:52 <RammsteinFan>	i am buddy i am
Oct 22 10:36:23 <LoverGuy>	:) thanks
Oct 22 10:36:30 <RammsteinFan>	:)
Oct 22 10:36:35 <RammsteinFan>	you just take care ok 
Oct 22 10:36:44 <LoverGuy>	yeah
Oct 22 10:36:51 <LoverGuy>	tell Him to take care of me
Oct 22 10:37:16 <RammsteinFan>	he will but right now you have to take care of yourself
Oct 22 10:38:04 <LoverGuy>	he has to make me take care of myself
Oct 22 10:38:53 <RammsteinFan>	he will
Oct 22 10:39:03 <RammsteinFan>	but first you need to take care of yourself
Oct 22 10:39:12 <RammsteinFan>	then he will take care of all the other things
Oct 22 10:39:25 <LoverGuy>	yeah
Oct 22 10:39:35 <LoverGuy>	let me see where all this takes me
Oct 22 10:43:46 *	LoverGuy has quit (Ping timeout: 121 seconds)
Oct 22 10:46:47 <LoverGuy>	i feel tempted to come back... i can atleast keep speaking to her
Oct 22 10:56:44 *	LoverGuy has quit (Quit: Reason filtered)
**** ENDING LOGGING AT Sat Oct 22 11:20:37 2016

**** BEGIN LOGGING AT Sat Oct 22 18:48:00 2016

[LoverGuy has address Chat@love.friendship.faith.trust.peace.bliss]
Oct 22 18:48:00 <LoverGuy>	hi RF
Oct 22 19:42:07 *	Disconnected (Connection reset by peer)
**** BEGIN LOGGING AT Sun Oct 23 11:12:20 2016

[LoverGuy has address Chat@love.friendship.faith.trust.peace.bliss]
Oct 23 11:12:20 <LoverGuy>	might leave tomo or wednesday
Oct 23 11:12:47 <RammsteinFan>	ok mate
Oct 23 11:12:49 <RammsteinFan>	good luck
Oct 23 11:12:57 <LoverGuy>	:) ty
Oct 23 11:13:02 <RammsteinFan>	:)
Oct 23 11:13:12 <LoverGuy>	still unsure
Oct 23 11:13:25 <RammsteinFan>	hmm
Oct 23 11:13:26 <LoverGuy>	i can at least be talking to her if iam in blore
Oct 23 11:13:33 <RammsteinFan>	yes
Oct 23 11:13:37 <RammsteinFan>	so come bacl then
Oct 23 11:13:56 <LoverGuy>	lemme see how the mood goes
Oct 23 11:13:57 <LoverGuy>	:P
Oct 23 11:14:19 <RammsteinFan>	ok
Oct 23 11:14:33 <LoverGuy>	deb said she was here yesterday and wouldn't say wd or ty to her
Oct 23 11:14:54 <RammsteinFan>	i see
Oct 23 11:15:11 <LoverGuy>	how can someone hold a grudge for that long?
Oct 23 11:15:13 <LoverGuy>	:o
Oct 23 11:15:54 <RammsteinFan>	ye
Oct 23 11:15:55 <RammsteinFan>	yes
Oct 23 11:30:53 <LoverGuy>	i am also thinking of staying in a yoga center in rishikesh
Oct 23 11:31:27 <RammsteinFan>	ok..good idea
Oct 23 11:39:00 *	LoverGuy has quit (Quit: Reason filtered)
**** ENDING LOGGING AT Sun Oct 23 11:39:19 2016

**** BEGIN LOGGING AT Sun Nov 13 17:33:23 2016

[LoverGuy has address most@love.friendship.faith.trust.peace.bliss]
Nov 13 17:33:25 <RammsteinFan>	hey
Nov 13 17:33:32 <RammsteinFan>	where are you?
Nov 13 17:33:33 <LoverGuy>	hiii
Nov 13 17:33:38 <LoverGuy>	still there
Nov 13 17:33:43 <RammsteinFan>	where?
Nov 13 17:33:46 <LoverGuy>	:)
Nov 13 17:33:51 <RammsteinFan>	place?
Nov 13 17:34:01 <LoverGuy>	bit away from uttarkashi
Nov 13 17:34:10 <RammsteinFan>	ah i see
Nov 13 17:34:11 <RammsteinFan>	ok
Nov 13 17:34:17 <LoverGuy>	how're you?
Nov 13 17:34:20 <RammsteinFan>	im good
Nov 13 17:34:26 <LoverGuy>	cool
Nov 13 17:34:44 <RammsteinFan>	went home for diwali...but dad wasnt well..so not a good diwali
Nov 13 17:34:50 <LoverGuy>	oh no
Nov 13 17:35:12 <LoverGuy>	how's he now?
Nov 13 17:35:22 <RammsteinFan>	hes ok now
Nov 13 17:35:25 <RammsteinFan>	thanks
Nov 13 17:35:28 <LoverGuy>	good
Nov 13 17:35:30 <LoverGuy>	:)
Nov 13 17:35:32 <RammsteinFan>	:)
Nov 13 17:35:35 <LoverGuy>	any talk of marriage?
Nov 13 17:35:36 <LoverGuy>	:D
Nov 13 17:35:42 <RammsteinFan>	of course
Nov 13 17:35:46 <LoverGuy>	hahaha
Nov 13 17:35:48 <LoverGuy>	i knew it
Nov 13 17:35:51 <RammsteinFan>	:)
Nov 13 17:35:58 <LoverGuy>	and you denied
Nov 13 17:36:09 <RammsteinFan>	when did i deny?
Nov 13 17:36:17 <LoverGuy>	i mean.. put it off
Nov 13 17:36:25 <RammsteinFan>	ah ok
Nov 13 17:36:28 <RammsteinFan>	kinda
Nov 13 17:36:32 <LoverGuy>	you asked them to.. i mean
Nov 13 17:36:32 <LoverGuy>	ok
Nov 13 17:36:35 <RammsteinFan>	but i met a girl too
Nov 13 17:36:39 <LoverGuy>	wowwwwwwwwwwwwwwwww
Nov 13 17:36:41 <LoverGuy>	that's news
Nov 13 17:36:46 <LoverGuy>	where?
Nov 13 17:36:46 <RammsteinFan>	my friends sisters friend
Nov 13 17:36:54 <RammsteinFan>	im my hometown
Nov 13 17:36:56 <LoverGuy>	here in blore?
Nov 13 17:36:58 <LoverGuy>	oh ok
Nov 13 17:36:59 <RammsteinFan>	no
Nov 13 17:37:05 <LoverGuy>	and???
Nov 13 17:37:12 <LoverGuy>	how're the prospects?
Nov 13 17:37:16 <RammsteinFan>	not for marriage
Nov 13 17:37:18 <RammsteinFan>	jus tmet lol
Nov 13 17:37:21 <LoverGuy>	whatever
Nov 13 17:37:37 <LoverGuy>	what's her name?
Nov 13 17:37:38 <RammsteinFan>	but shes interested and im interested too :)
Nov 13 17:37:44 <LoverGuy>	that's good
Nov 13 17:37:46 <LoverGuy>	:)
Nov 13 17:38:18 <LoverGuy>	finally something is happening in at least one person's life
Nov 13 17:38:19 <LoverGuy>	:)
Nov 13 17:38:20 <RammsteinFan>	so how are you managing?
Nov 13 17:38:25 <LoverGuy>	baddddddddddd
Nov 13 17:38:26 <RammsteinFan>	oh i seee
Nov 13 17:38:35 <RammsteinFan>	you talked to her recently?
Nov 13 17:38:35 <LoverGuy>	i've started chewing tobacco
Nov 13 17:38:38 <LoverGuy>	yes
Nov 13 17:38:45 <LoverGuy>	sings the same tune
Nov 13 17:38:49 <RammsteinFan>	i see
Nov 13 17:38:52 <RammsteinFan>	tobacco?
Nov 13 17:38:55 <LoverGuy>	yes
Nov 13 17:38:58 <RammsteinFan>	why of all things that???
Nov 13 17:38:59 <LoverGuy>	hans chap tambaku
Nov 13 17:39:00 <LoverGuy>	:P
Nov 13 17:39:07 <RammsteinFan>	hmmm
Nov 13 17:39:11 <RammsteinFan>	you know you dont have to
Nov 13 17:39:14 <LoverGuy>	need something to contain the pain
Nov 13 17:39:18 <LoverGuy>	i know
Nov 13 17:39:27 <RammsteinFan>	hmm i can understand 
Nov 13 17:39:29 <LoverGuy>	but it's almost 24/7
Nov 13 17:39:35 <LoverGuy>	even night times
Nov 13 17:39:39 <RammsteinFan>	but you dont need to do that
Nov 13 17:39:44 <LoverGuy>	i know
Nov 13 17:39:50 <LoverGuy>	unable to shake it off
Nov 13 17:40:09 <RammsteinFan>	hmm
Nov 13 17:40:13 <LoverGuy>	what's your gal doing?
Nov 13 17:40:16 <LoverGuy>	leave mine
Nov 13 17:40:17 <RammsteinFan>	well try harder :)
Nov 13 17:40:19 <LoverGuy>	i am a gone case
Nov 13 17:40:21 <LoverGuy>	nah
Nov 13 17:40:25 <LoverGuy>	don't want to try
Nov 13 17:40:26 <RammsteinFan>	cmon dont say that
Nov 13 17:40:36 <RammsteinFan>	she is a teacher in my homwtown
Nov 13 17:40:41 <LoverGuy>	nice
Nov 13 17:40:48 <LoverGuy>	teachers have patience
Nov 13 17:40:55 <RammsteinFan>	i might move back to my homwtown too
Nov 13 17:40:56 <RammsteinFan>	loool
Nov 13 17:41:01 <LoverGuy>	:o
Nov 13 17:41:02 <RammsteinFan>	yes some of them do
Nov 13 17:41:06 <RammsteinFan>	coz of dad
Nov 13 17:41:15 <LoverGuy>	what about your profession?
Nov 13 17:41:25 <RammsteinFan>	my mother and granny are the only people in the house atm
Nov 13 17:41:31 <LoverGuy>	you have some land there?
Nov 13 17:41:33 <RammsteinFan>	they cant handle any emergencies
Nov 13 17:41:34 <LoverGuy>	ok...
Nov 13 17:41:38 <LoverGuy>	i understand
Nov 13 17:41:39 <RammsteinFan>	yeah we have some land
Nov 13 17:41:46 <LoverGuy>	coconut?
Nov 13 17:41:51 <RammsteinFan>	no
Nov 13 17:42:16 <RammsteinFan>	thinking of taking over a relatives business
Nov 13 17:42:19 <RammsteinFan>	hes planning to sell it
Nov 13 17:42:32 <LoverGuy>	if you ask me, it's a better option than IT
Nov 13 17:42:36 <RammsteinFan>	or i might do some teaching
Nov 13 17:42:40 <RammsteinFan>	yes it is
Nov 13 17:42:47 <RammsteinFan>	im fed up of IT and bangalore
Nov 13 17:42:50 <LoverGuy>	anything is fine... you can be at peace
Nov 13 17:42:53 <LoverGuy>	me too
Nov 13 17:42:57 <LoverGuy>	don't want to return
Nov 13 17:42:57 <RammsteinFan>	exactly
Nov 13 17:43:12 <LoverGuy>	but i'll burn up mone
Nov 13 17:43:14 <LoverGuy>	money
Nov 13 17:43:22 <RammsteinFan>	what?
Nov 13 17:43:27 <RammsteinFan>	burn money in bglore?
Nov 13 17:43:29 <LoverGuy>	i mean.. my savings
Nov 13 17:43:33 <LoverGuy>	i mean.. here
Nov 13 17:43:36 <RammsteinFan>	yeah exactly
Nov 13 17:43:40 <LoverGuy>	i just spend
Nov 13 17:43:48 <RammsteinFan>	i understand
Nov 13 17:43:55 <RammsteinFan>	well take care of yourself buddy
Nov 13 17:43:55 <LoverGuy>	and it's getting expensive coz it's off season
Nov 13 17:44:01 <LoverGuy>	yes
Nov 13 17:44:01 <RammsteinFan>	winter is hard
Nov 13 17:44:02 <LoverGuy>	i must
Nov 13 17:44:05 <LoverGuy>	very
Nov 13 17:44:13 <LoverGuy>	but i might be forced to return too
Nov 13 17:44:15 <RammsteinFan>	yes it must be
Nov 13 17:44:20 <LoverGuy>	cousin's after me
Nov 13 17:44:24 <RammsteinFan>	ah 
Nov 13 17:44:26 <LoverGuy>	about that new company
Nov 13 17:44:29 <RammsteinFan>	what does he say?
Nov 13 17:44:32 <RammsteinFan>	ok
Nov 13 17:44:36 <RammsteinFan>	so come back then
Nov 13 17:44:45 <LoverGuy>	he was my mom's fav guy... she loved him more than me
Nov 13 17:44:47 <RammsteinFan>	what do you have to gain from staying tehre
Nov 13 17:45:04 <LoverGuy>	so, for his sake, i might come back for a short interval to set up the company
Nov 13 17:45:14 <RammsteinFan>	good to hear that
Nov 13 17:45:24 <LoverGuy>	if i were cut off from internet, i would be at peace.. :D 
Nov 13 17:45:34 <RammsteinFan>	hmm :)
Nov 13 17:45:54 <RammsteinFan>	well
Nov 13 17:46:07 <LoverGuy>	you've decided to move, or is it still a plan
Nov 13 17:46:09 <LoverGuy>	?
Nov 13 17:46:14 <RammsteinFan>	still a plan
Nov 13 17:46:19 <LoverGuy>	ok
Nov 13 17:46:31 <RammsteinFan>	will go to homwtown next month again
Nov 13 17:46:32 <LoverGuy>	if your girl is there, it's better to move
Nov 13 17:46:36 <LoverGuy>	ok...
Nov 13 17:46:37 <RammsteinFan>	finalise all the details
Nov 13 17:46:41 <LoverGuy>	hmmm
Nov 13 17:46:43 <RammsteinFan>	yeah its better
Nov 13 17:46:51 <RammsteinFan>	the amount is huge
Nov 13 17:46:57 <LoverGuy>	i had a girl for you on mind :D
Nov 13 17:46:58 <LoverGuy>	ohh
Nov 13 17:46:59 <LoverGuy>	ok
Nov 13 17:47:00 <RammsteinFan>	so teaching looks like a better option for now :)
Nov 13 17:47:04 <LoverGuy>	sure
Nov 13 17:47:05 <RammsteinFan>	ah ok :)
Nov 13 17:47:07 <RammsteinFan>	who is it?
Nov 13 17:47:11 <LoverGuy>	a friend
Nov 13 17:47:17 <RammsteinFan>	in trivia?
Nov 13 17:47:17 <LoverGuy>	works for cognizant.. in pune
Nov 13 17:47:20 <LoverGuy>	nooo
Nov 13 17:47:21 <RammsteinFan>	ah ok
Nov 13 17:47:26 <LoverGuy>	marathi girl
Nov 13 17:47:34 <LoverGuy>	27 or 26
Nov 13 17:47:35 <RammsteinFan>	i see
Nov 13 17:47:43 <LoverGuy>	she's looking too
Nov 13 17:47:48 <LoverGuy>	very good gal
Nov 13 17:47:54 <RammsteinFan>	she from pune or just working tehre?
Nov 13 17:48:06 <LoverGuy>	she's from mumbai.. but her bro and sil live there
Nov 13 17:48:10 <LoverGuy>	she's with them
Nov 13 17:48:12 <RammsteinFan>	i see
Nov 13 17:48:25 <LoverGuy>	i told her too :D
Nov 13 17:48:29 <LoverGuy>	about you
Nov 13 17:48:32 <RammsteinFan>	well if it doesnt work out with this girl ill let you know 
Nov 13 17:48:36 <RammsteinFan>	oh did you?
Nov 13 17:48:39 <RammsteinFan>	what did she say?
Nov 13 17:48:39 <LoverGuy>	yes
Nov 13 17:48:58 <LoverGuy>	she asked which site we play trivia
Nov 13 17:49:05 <RammsteinFan>	hmm
Nov 13 17:49:10 <LoverGuy>	but she knows about sapphire
Nov 13 17:49:14 <RammsteinFan>	i see
Nov 13 17:49:18 <LoverGuy>	and she's furious as hell with her
Nov 13 17:49:21 <RammsteinFan>	so she wants to join here?
Nov 13 17:49:25 <RammsteinFan>	who wouldnt be buddy?
Nov 13 17:49:34 <LoverGuy>	i don't want her coming here and raking it up with her
Nov 13 17:49:35 <RammsteinFan>	whats her name?
Nov 13 17:49:42 <LoverGuy>	rutika acharya
Nov 13 17:49:46 <RammsteinFan>	i see
Nov 13 17:49:47 <LoverGuy>	buddhist
Nov 13 17:49:52 <RammsteinFan>	i se
Nov 13 17:49:54 <RammsteinFan>	see*
Nov 13 17:50:02 <LoverGuy>	looks cool
Nov 13 17:50:05 <RammsteinFan>	i like that name rutika :)
Nov 13 17:50:06 <LoverGuy>	calm one
Nov 13 17:50:11 <LoverGuy>	made for family :)
Nov 13 17:50:14 <LoverGuy>	niceeee
Nov 13 17:50:15 <RammsteinFan>	lol
Nov 13 17:50:17 <RammsteinFan>	ok buddy
Nov 13 17:50:23 <RammsteinFan>	you can stop now ol
Nov 13 17:50:28 <LoverGuy>	lol
Nov 13 17:50:48 <LoverGuy>	her parents are looking too
Nov 13 17:51:06 <LoverGuy>	you can speak marathi, right?
Nov 13 17:51:13 <RammsteinFan>	yep
Nov 13 17:51:18 <LoverGuy>	cool
Nov 13 17:51:41 <LoverGuy>	let's see
Nov 13 17:51:45 <RammsteinFan>	well see buddy well see :)
Nov 13 17:51:50 <LoverGuy>	yup
Nov 13 17:52:02 <LoverGuy>	know her since 4 years
Nov 13 17:52:06 <RammsteinFan>	ok
Nov 13 17:52:33 <RammsteinFan>	btw how are you managing with 500 and 1000 rupee notes? 
Nov 13 17:52:56 <LoverGuy>	have 100's
Nov 13 17:53:02 <RammsteinFan>	thats good
Nov 13 17:53:05 <LoverGuy>	it isn't that crowded here
Nov 13 17:53:08 <LoverGuy>	small town
Nov 13 17:53:15 <RammsteinFan>	ah then its ok i guess
Nov 13 17:53:22 <RammsteinFan>	just occured to me 
Nov 13 17:53:23 <LoverGuy>	ganga is still bhagirathi here :)
Nov 13 17:53:26 <RammsteinFan>	lol
Nov 13 17:53:31 <RammsteinFan>	sure sure
Nov 13 17:53:39 <RammsteinFan>	do they still call her taht there?
**** ENDING LOGGING AT Sun Nov 13 17:55:35 2016

**** BEGIN LOGGING AT Tue Nov 15 20:22:47 2016

[LoverGuy has address eternally@love.friendship.faith.trust.peace.bliss]
Nov 15 20:22:47 <LoverGuy>	you born in capricorn?
Nov 15 20:22:59 <RammsteinFan>	no
Nov 15 20:23:03 <RammsteinFan>	pisces 
Nov 15 20:23:06 <LoverGuy>	k
Nov 15 20:23:10 <RammsteinFan>	according to english calendar
Nov 15 20:23:19 <LoverGuy>	indian?
Nov 15 20:23:25 <RammsteinFan>	scorpio
Nov 15 20:23:31 <RammsteinFan>	why?
Nov 15 20:23:34 <LoverGuy>	ohk
Nov 15 20:23:49 <LoverGuy>	seems capri ppl are finding their mates :)
Nov 15 20:24:02 <RammsteinFan>	ok
Nov 15 20:24:09 <RammsteinFan>	you reading horoscopes?
Nov 15 20:24:26 <LoverGuy>	hehe
Nov 15 20:24:34 <LoverGuy>	two of my friends found
Nov 15 20:24:38 <LoverGuy>	both capris
Nov 15 20:31:59 <RammsteinFan>	ok :)
Nov 15 20:32:06 <LoverGuy>	:)
**** ENDING LOGGING AT Tue Nov 15 20:51:11 2016

**** BEGIN LOGGING AT Tue Nov 15 21:50:17 2016

[LoverGuy has address eternally@love.friendship.faith.trust.peace.bliss]
Nov 15 21:50:17 <LoverGuy>	i will end up with something more serious
Nov 15 21:50:19 <LoverGuy>	i know
Nov 15 21:51:20 <RammsteinFan>	hmm
Nov 15 21:51:25 <RammsteinFan>	so dont chew tobacco dude
Nov 15 21:51:27 <RammsteinFan>	you dont need to
Nov 15 21:52:22 <LoverGuy>	pain!!!
Nov 15 21:52:54 <RammsteinFan>	hmm
Nov 15 22:16:39 <LoverGuy>	his suggestion
Nov 15 22:16:56 <RammsteinFan>	dragon asked you to change the topic?
Nov 15 22:17:04 <LoverGuy>	yup
Nov 15 22:17:12 <RammsteinFan>	hmm ok
Nov 15 22:18:09 <RammsteinFan>	what do think about that?
Nov 15 22:18:47 <LoverGuy>	idk... all i know is i'll be the next one
Nov 15 22:18:48 <LoverGuy>	:D
Nov 15 22:18:58 <RammsteinFan>	cmon man
Nov 15 22:19:06 <RammsteinFan>	joking aside...you should stop now
Nov 15 22:19:30 <LoverGuy>	can't
Nov 15 22:19:39 <RammsteinFan>	hmm
Nov 15 22:19:48 <RammsteinFan>	stubborn :)
Nov 15 22:20:01 <LoverGuy>	helpless
Nov 15 22:20:46 <LoverGuy>	beyond my control
Nov 15 22:20:57 <RammsteinFan>	ok
Nov 15 22:21:01 <RammsteinFan>	if you say so
Nov 15 22:21:09 <LoverGuy>	yeah.. it is so
Nov 15 22:26:01 <LoverGuy>	does your gal chat with you here?
Nov 15 22:26:08 <RammsteinFan>	no
Nov 15 22:26:15 <RammsteinFan>	i havent called her 
Nov 15 22:26:15 <LoverGuy>	:)
Nov 15 22:26:19 <LoverGuy>	hmmm
Nov 15 22:26:30 <RammsteinFan>	waiting to see if she calls :D
Nov 15 22:26:39 <LoverGuy>	:)
Nov 15 22:26:49 <LoverGuy>	she will
Nov 15 22:26:55 <RammsteinFan>	idk man
Nov 15 22:27:17 <LoverGuy>	start whatsapp conversations
Nov 15 22:28:34 <RammsteinFan>	i know
Nov 15 22:28:48 <RammsteinFan>	i send her a good morning message and she replied
Nov 15 22:28:52 <RammsteinFan>	on monday
Nov 15 22:28:55 <LoverGuy>	great :D
Nov 15 22:29:06 <RammsteinFan>	today waited to see if she send first :P
Nov 15 22:29:08 <RammsteinFan>	she didnt
Nov 15 22:29:14 <RammsteinFan>	so ill make her wait a bit more :D
Nov 15 22:29:33 <LoverGuy>	haha
Nov 15 22:29:38 <LoverGuy>	good tactic
Nov 15 22:30:58 <RammsteinFan>	not tactic dude
Nov 15 22:31:04 <RammsteinFan>	i should nt seem desperate
