**** BEGIN LOGGING AT Sat Oct 22 08:48:04 2016

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Oct 22 08:48:10 <DjAmmo>	!reqlogin ON
Nov 16 21:24:33 <DjAmmo>	!dedicate JenYah from Lava
Nov 16 21:24:33 <Cronus>	Dedicated To Message Sent!
Nov 16 21:36:51 <DjAmmo>	!reglogout
Nov 16 21:36:56 <DjAmmo>	!reqlogout
Nov 16 21:36:56 <Cronus>	OK, you are no longer the active DJ
**** ENDING LOGGING AT Wed Nov 16 21:37:44 2016

**** BEGIN LOGGING AT Thu Nov 17 17:38:07 2016

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Nov 17 17:38:14 <DjAmmo>	!reqlogin ON
Nov 17 17:38:15 <Cronus>	You Are Now The Live DJ!
Nov 17 18:46:23 <Cronus>	Request from Duice in #Radio on IRC: machine gun kelly - sail Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 17 18:52:25 <Cronus>	Request from Skitten in #Radio on IRC: Toby keith - whiskey girl Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 17 18:54:10 <Cronus>	Request from Duice in #Radio on IRC: abba - Waterloo  Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 17 19:03:12 <Cronus>	Request from Valentina_J in #Radio on IRC: Tim McGraw - Just To See You Smile Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 17 19:20:18 <Cronus>	Request from Valentina_J in #Radio on IRC: Grieg  In The Hall Of The Mountain King Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 17 19:29:01 <Cronus>	Request from Skitten in #Radio on IRC: avril lavigne - i’m with you Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 17 20:25:05 <Cronus>	Request from Lorn in #Radio on IRC: Lorn - 'Diamond'  Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 17 20:42:15 <DjAmmo>	!reqlogoff
Nov 17 20:42:20 <DjAmmo>	!reqlogout
Nov 17 20:42:21 <Cronus>	OK, you are no longer the active DJ
**** ENDING LOGGING AT Thu Nov 17 20:42:23 2016

**** BEGIN LOGGING AT Fri Nov 18 18:37:42 2016

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Nov 18 18:37:50 <DjAmmo>	!reqlogin ON
Nov 18 18:37:50 <Cronus>	You Are Now The Live DJ!
Nov 18 18:38:40 <Cronus>	Request from RammsteinFan in #Radio on IRC: rammstein du hast Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 18 20:34:24 <DjAmmo>	!reqlonout
Nov 18 20:34:29 <DjAmmo>	!reqlogout
Nov 18 20:34:29 <Cronus>	OK, you are no longer the active DJ
**** ENDING LOGGING AT Fri Nov 18 20:35:05 2016

**** BEGIN LOGGING AT Sun Nov 20 15:58:11 2016

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
**** ENDING LOGGING AT Sun Nov 20 15:58:16 2016

**** BEGIN LOGGING AT Sun Nov 20 15:58:18 2016

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Nov 20 15:58:33 <DjAmmo>	!reqlogin
Nov 20 15:58:34 <Cronus>	You Are Now The Live DJ!
Nov 20 16:20:49 <DjAmmo>	!reqlogin ON
Nov 20 16:20:51 <Cronus>	You Are Now The Live DJ!
Nov 20 16:36:08 <DjAmmo>	!dedicate my ex-gf
Nov 20 16:36:09 <Cronus>	Dedicated To Message Sent!
Nov 20 17:07:39 <Cronus>	Request from RammsteinFan in #Radio on IRC: rammstein dj's discretion Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 20 18:38:30 <DjAmmo>	!reqlogin OFF
Nov 20 18:38:31 <Cronus>	You Are Now The Live DJ!
Nov 20 18:43:16 <DjAmmo>	!reqlogout
Nov 20 18:43:17 <Cronus>	OK, you are no longer the active DJ
**** ENDING LOGGING AT Sun Nov 20 18:43:19 2016

**** BEGIN LOGGING AT Tue Nov 22 20:50:51 2016

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Nov 22 20:50:57 <DjAmmo>	!reqlogin ON
Nov 22 20:50:58 <Cronus>	You Are Now The Live DJ!
Nov 22 20:53:55 <Cronus>	Request from not[in]theworld in #Radio on IRC: Talking one Language - Vargo - Cafe del Mar  Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 22 20:54:51 <DjAmmo>	!reqlogin OFF
Nov 22 20:54:52 <Cronus>	You Are Now The Live DJ!
Nov 22 22:42:25 <DjAmmo>	!reqlogin ON
Nov 22 22:42:26 <Cronus>	You Are Now The Live DJ!
Nov 22 22:42:56 <Cronus>	Request from Rick in #Radio on IRC: rockabye Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 22 22:44:18 <Cronus>	Request from munchingcarrots in #Radio on IRC: cardigans - i love you Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 22 22:46:15 <Cronus>	Request from Rick in #Radio on IRC: starboy the weeknd Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 22 22:47:17 <DjAmmo>	!reqlogin OFF
Nov 22 22:47:17 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Tue Nov 22 23:02:59 2016

**** BEGIN LOGGING AT Sun Nov 27 16:47:04 2016

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Nov 27 17:11:56 <DjAmmo>	!reqlogin ON
Nov 27 17:11:57 <Cronus>	You Are Now The Live DJ!
Nov 27 17:19:37 <Cronus>	Request from JonTargaryen in #Radio on IRC: pink floyd another brink in the wall part 2 Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 27 17:19:47 <Cronus>	Request from JonTargaryen in #Radio on IRC: pink floyd another brick in the wall part 2 Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 27 17:21:42 <Cronus>	Request from tekisui in #Radio on IRC: deep purple - woman from tokyo Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 27 17:32:02 <Cronus>	Request from JonTargaryen in #Radio on IRC: London Grammar NightCall Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 27 17:38:01 <Cronus>	Request from JonTargaryen in #Radio on IRC: Guns'n'Roses This i love Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 27 17:42:40 <Cronus>	Request from tekisui in #Radio on IRC: DjAmmo - engel Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 27 18:01:05 <Cronus>	Request from tekisui in #Radio on IRC: Darude - Sandstorm Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 27 19:13:28 <DjAmmo>	!dedicate to all the kissers in the room
Nov 27 19:13:29 <Cronus>	Dedicated To Message Sent!
Nov 27 19:19:38 <DjAmmo>	!reqlogin OFF
Nov 27 19:19:39 <Cronus>	You Are Now The Live DJ!
Nov 27 19:25:24 <DjAmmo>	!reqlogin OFF
Nov 27 19:25:26 <Cronus>	You Are Now The Live DJ!
Nov 27 19:30:26 <DjAmmo>	!reqlogout 
Nov 27 19:30:27 <Cronus>	OK, you are no longer the active DJ
**** ENDING LOGGING AT Sun Nov 27 19:32:37 2016

**** BEGIN LOGGING AT Tue Nov 29 23:08:41 2016

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Nov 29 23:08:47 <DjAmmo>	!reqlogin ON
Nov 29 23:08:49 <Cronus>	You Are Now The Live DJ!
Nov 29 23:22:27 <DjAmmo>	!reqlogin Off
Nov 29 23:22:28 <Cronus>	You Are Now The Live DJ!
Nov 29 23:37:52 <DjAmmo>	!reqlogin On
Nov 29 23:37:53 <Cronus>	You Are Now The Live DJ!
Nov 30 00:14:36 <DjAmmo>	!reqlogin Off
Nov 30 00:14:37 <Cronus>	You Are Now The Live DJ!
Nov 30 01:00:47 *	Disconnected (Connection reset by peer)
**** ENDING LOGGING AT Wed Nov 30 01:02:07 2016

**** BEGIN LOGGING AT Wed Nov 30 14:54:19 2016

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Nov 30 14:54:25 <DjAmmo>	!reqlogin ON
Nov 30 14:54:25 <Cronus>	You Are Now The Live DJ!
Nov 30 16:11:33 <Cronus>	Request from Sicilia in #Radio on IRC: ti amo remix Use !dedicate text to dedicate the song to the person on the IRC Channel
Nov 30 16:48:30 *	Disconnected (Connection reset by peer)
**** ENDING LOGGING AT Wed Nov 30 16:49:16 2016

**** BEGIN LOGGING AT Wed Nov 30 23:17:12 2016

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
**** ENDING LOGGING AT Wed Nov 30 23:19:45 2016

**** BEGIN LOGGING AT Fri Dec  2 18:31:47 2016

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Dec 02 18:38:12 <DjAmmo>	!reqlogin ON
Dec 02 18:38:13 <Cronus>	You Are Now The Live DJ!
Dec 02 19:38:15 <Cronus>	Request from Valentina_J in #Radio on IRC: Bruce Hornsby - Every Little Kiss Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 02 19:51:33 <Cronus>	Request from Valentina_J in #Radio on IRC: Marc Cohn - Walking In Memphis Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 02 19:51:51 <Cronus>	Request from MissGrayling in #Radio on IRC: pink floyd - learning to fly Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 02 20:12:54 <Cronus>	Request from tekisui in #Radio on IRC: the weekend - can´t feel my ace Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 02 20:13:12 <Cronus>	Request from Valentina_J in #Radio on IRC: Emerson Lake & Palmer - Karn Evil #9 Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 02 20:19:53 <Cronus>	Request from Gaping in #Radio on IRC: 7 lions-one more time Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 02 20:22:56 <Cronus>	Request from MissGrayling in #Radio on IRC: pink floyd - sorrow Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 02 20:23:37 *	Notify: DeWdRoPs is offline (LibraIRC)
Dec 02 20:25:15 <DjAmmo>	!reqlogin OFF
Dec 02 20:25:16 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Fri Dec  2 20:44:42 2016

**** BEGIN LOGGING AT Sat Dec 17 23:59:48 2016

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Dec 17 23:59:55 <DjAmmo>	!reqlogin ON
Dec 17 23:59:56 <Cronus>	You Are Now The Live DJ!
Dec 18 01:46:13 <DjAmmo>	!reqlogin OFF
Dec 18 01:46:14 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Sun Dec 18 02:19:27 2016

**** BEGIN LOGGING AT Sun Dec 18 14:55:41 2016

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Dec 18 15:00:05 <DjAmmo>	!reqlogin ON
Dec 18 15:00:11 *	Disconnected (Connection reset by peer)
Dec 18 15:00:33 *	RammsteinFan is already in use. Retrying with DjAmmo...
Dec 18 15:00:33 *	DjAmmo is already in use. Retrying with NeoAndersen...
Dec 18 15:00:34 >nickserv<	identify ****
Dec 18 15:00:34 *	NeoAndersen sets mode +i on NeoAndersen
Dec 18 15:00:34 *	NeoAndersen sets mode +w on NeoAndersen
Dec 18 15:00:34 *	NeoAndersen sets mode +x on NeoAndersen
Dec 18 15:00:34 *	NeoAndersen sets mode +T on NeoAndersen
Dec 18 15:00:34 -NickServ-	Welcome to LibraIRC, NeoAndersen! Here on LibraIRC, we provide services to enable the registration of nicknames and channels! For details, type /msg NickServ help and /msg ChanServ help.
Dec 18 15:00:38 *	Notify: LilMermaid is online (LibraIRC)
Dec 18 15:00:38 *	Notify: hOpPy is online (LibraIRC)
Dec 18 15:00:40 *	[LilMermaid] (Jellofish@The.One.Who.Got.Away): Apocalypse
Dec 18 15:00:40 *	[LilMermaid] ~#Apocalypse #40_something #Middle_East @#trivia #friends #Lounge #Radio &#ME-Help 
Dec 18 15:00:40 *	[LilMermaid] irc01-green.librairc.net :LibraIRC CA Server
Dec 18 15:00:40 *	[LilMermaid] is logged in as LilMermaid
Dec 18 15:00:40 *	[LilMermaid] idle 00:02:14, signon: Sun Dec 18 14:39:39
Dec 18 15:00:40 *	[LilMermaid] End of WHOIS list.
Dec 18 15:00:42 *	[hOpPy] (Me@hOpPy.Moderator.Trivia): hOpPy
Dec 18 15:00:42 *	[hOpPy] ~#trivia 
Dec 18 15:00:42 *	[hOpPy] irc01-blue.librairc.net :LibraIRC EU Server
Dec 18 15:00:42 *	[hOpPy] is logged in as Hoppy
Dec 18 15:00:42 *	[hOpPy] idle 00:00:10, signon: Sun Dec 18 03:11:48
Dec 18 15:00:42 *	[hOpPy] End of WHOIS list.
Dec 18 15:00:48 -NickServ-	NeoAndersen is not a registered nickname.
Dec 18 15:01:29 Update Checker	hexchat_command called without a valid context.
Dec 18 15:01:29 Update Checker	hexchat_print called without a valid context.
Dec 18 15:01:29 Do At	hexchat_print called without a valid context.
**** ENDING LOGGING AT Sun Dec 18 15:01:29 2016

**** BEGIN LOGGING AT Sun Dec 18 15:05:17 2016

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Dec 18 15:05:23 <DjAmmo>	!reqlogin ON
Dec 18 15:05:24 <Cronus>	You Are Now The Live DJ!
Dec 18 15:19:10 <DjAmmo>	!reqlogin OFF
Dec 18 15:19:11 <Cronus>	You Are Now The Live DJ!
Dec 18 15:43:57 <DjAmmo>	!reqlogin ON
Dec 18 15:43:58 <Cronus>	You Are Now The Live DJ!
Dec 18 16:05:37 Update Checker plugin unloaded
Dec 18 16:05:37 Do At plugin unloaded
**** ENDING LOGGING AT Sun Dec 18 16:05:37 2016

**** BEGIN LOGGING AT Mon Dec 19 17:26:50 2016

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Dec 19 17:26:55 <DjAmmo>	!reqlogin ON
Dec 19 17:26:56 <Cronus>	You Are Now The Live DJ!
Dec 19 18:05:58 <Cronus>	Request from Valentina_J in #Radio on IRC: Various Artists - Feed The World Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 19 18:22:45 <Cronus>	Request from Valentina_J in #Radio on IRC: Lynyrd Skynyrd - Classical Christmas Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 19 18:41:02 <Cronus>	Request from Valentina_J in #Radio on IRC: Rodrigo Y Gabriela - Diablo Rojo Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 19 18:46:07 <Cronus>	Request from Skitten in #Radio on IRC: christina aguilera - hurt Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 19 19:14:41 *	Disconnected (Connection reset by peer)
**** ENDING LOGGING AT Mon Dec 19 19:16:57 2016

**** BEGIN LOGGING AT Mon Dec 19 19:19:05 2016

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Dec 19 19:19:11 <DjAmmo>	!reqlogin ON
Dec 19 19:19:12 <Cronus>	You Are Now The Live DJ!
Dec 19 20:01:44 <Cronus>	Request from MissGrayling in #Radio on IRC: The cure - One hundred days Use !dedicate text to dedicate the song to the person on the IRC Channel
**** ENDING LOGGING AT Mon Dec 19 20:29:26 2016

**** BEGIN LOGGING AT Tue Dec 20 00:00:46 2016

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Dec 20 00:19:40 <Cronus>	Request from arcticsnowgirl in #Radio on IRC: Cold♥play-Adventure_Of_A_Lifetime Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 20 00:34:05 <Cronus>	Request from Parsley in #Radio on IRC: alkaline trio-burn Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 20 00:47:05 <Cronus>	Request from Parsley in #Radio on IRC: afi-girls not grey Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 20 01:03:43 <Cronus>	Request from Parsley in #Radio on IRC: the misfits-dig up her bones Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 20 01:04:16 *	Notify: lainy is online (LibraIRC)
Dec 20 01:04:17 *	[lainy] (librairc@295415.D1EEA8.BC3000.818778): Web Chatter @ http://librairc.net/chat
Dec 20 01:04:17 *	[lainy] irc01-blue.librairc.net :LibraIRC EU Server
Dec 20 01:04:17 *	[lainy] idle 00:00:00, signon: Tue Dec 20 01:04:49
Dec 20 01:04:17 *	[lainy] End of WHOIS list.
Dec 20 01:14:11 <DjAmmo>	!reqlogin OFF
Dec 20 01:14:12 <Cronus>	You Are Now The Live DJ!
Dec 20 01:14:14 <DjAmmo>	!reqlogin ON
Dec 20 01:14:15 <Cronus>	You Are Now The Live DJ!
Dec 20 01:21:23 <Cronus>	Request from Parsley in #Radio on IRC: iron maiden-hallowed be thy name Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 20 01:47:51 <Cronus>	Request from Parsley in #Radio on IRC: tool-hush Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 20 02:06:22 <DjAmmo>	!reqlogin OFF
Dec 20 02:06:23 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Tue Dec 20 02:30:00 2016

**** BEGIN LOGGING AT Wed Dec 21 20:32:56 2016

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Dec 21 20:33:01 <DjAmmo>	!reqlogin ON
Dec 21 20:33:01 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Wed Dec 21 21:19:11 2016

**** BEGIN LOGGING AT Sat Dec 24 01:16:21 2016

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Dec 24 01:16:27 <DjAmmo>	!reqlogin ON
Dec 24 01:16:28 <Cronus>	You Are Now The Live DJ!
Dec 24 01:42:34 <Cronus>	Request from Barbara in #Radio on IRC: kids-mgmt Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 24 01:59:20 <Cronus>	Request from Barbara in #Radio on IRC: tool-schism Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 24 02:23:38 <DjAmmo>	!reqlogin OFF
Dec 24 02:23:38 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Sat Dec 24 02:48:41 2016

**** BEGIN LOGGING AT Sat Dec 24 22:42:38 2016

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Dec 24 22:42:44 <DjAmmo>	!reqlogin ON
Dec 24 22:42:46 <Cronus>	You Are Now The Live DJ!
Dec 24 23:08:22 *	Disconnected (Connection reset by peer)
**** ENDING LOGGING AT Sat Dec 24 23:12:55 2016

**** BEGIN LOGGING AT Sat Dec 24 23:12:57 2016

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Dec 24 23:13:03 <DjAmmo>	!reqlogin ON
Dec 24 23:13:04 <Cronus>	You Are Now The Live DJ!
**** ENDING LOGGING AT Sat Dec 24 23:29:05 2016

**** BEGIN LOGGING AT Tue Dec 27 00:51:01 2016

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Dec 27 00:51:07 <DjAmmo>	!reqlogin ON
Dec 27 00:51:07 <Cronus>	You Are Now The Live DJ!
Dec 27 02:55:31 <Cronus>	Request from _Mexicano in #Radio on IRC: The Weeknd - Starboy Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 27 03:04:51 <Cronus>	Request from _Mexicano in #Radio on IRC: DJ Snake with Justin Bieber - Let Me Love You Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 27 03:28:23 <Cronus>	Request from _Mexicano in #Radio on IRC: Alan Walker - Faded Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 27 03:30:27 <Cronus>	Request from _Mexicano in #Radio on IRC: Marshmello - Alone Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 27 04:19:54 -Cronus-	Thank you for your song rating.
Dec 27 04:23:37 Update Checker	hexchat_command called without a valid context.
Dec 27 04:23:37 Update Checker	hexchat_print called without a valid context.
Dec 27 04:23:37 Do At	hexchat_print called without a valid context.
**** ENDING LOGGING AT Tue Dec 27 04:23:37 2016

**** BEGIN LOGGING AT Wed Dec 28 01:44:43 2016

[Cronus has address ircbot@493C27.04A8F1.010A50.791F03]
Dec 28 01:44:48 <DjAmmo>	!reqlogin ON
Dec 28 01:44:48 <Cronus>	You Are Now The Live DJ!
Dec 28 02:03:31 <Cronus>	Request from cookiemonster in #Radio on IRC: godsmack - i stand alone Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 28 02:05:51 <Cronus>	Request from MinionKingBob in #Radio on IRC: Demi Lovato Let It Go Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 28 02:13:41 <Cronus>	Request from MinionKingBob in #Radio on IRC: The_Black_Eyed_Peas Boom_Boom_Pow Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 28 02:21:45 <Cronus>	Request from cookiemonster in #Radio on IRC: johnny cash - heart of gold Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 28 02:33:59 <Cronus>	Request from KingBaggot in #Radio on IRC: tool-aenima Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 28 02:50:39 <Cronus>	Request from KingBaggot in #Radio on IRC: mortal kombat-test your might Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 28 03:04:00 <Cronus>	Request from MinionKingBob in #Radio on IRC: One Republic Counting Stars Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 28 03:09:28 <Cronus>	Request from KingBaggot in #Radio on IRC: iron maiden-the trooper Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 28 03:31:43 <Cronus>	Request from KingBaggot in #Radio on IRC: tool-schism Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 28 03:39:15 <Cronus>	Request from _Chinese_Boy in #Radio on IRC: Alan Walker - Faded Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 28 03:57:39 <DjAmmo>	!reqlogin OFF
Dec 28 03:57:39 <Cronus>	You Are Now The Live DJ!
Dec 28 04:22:51 <DjAmmo>	!reqlogin ON
Dec 28 04:22:52 <Cronus>	You Are Now The Live DJ!
Dec 28 04:24:32 <Cronus>	Request from Kuekuatsheu in #Radio on IRC: Fireflies Owl City Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 28 04:26:20 <Cronus>	Request from Parsley in #Radio on IRC: tool-the grudge Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 28 04:41:00 <Cronus>	Request from MinionKingBob in #Radio on IRC: Flo.Rida Right Round Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 28 04:45:08 <Cronus>	Request from moss in #Radio on IRC: Depeche Mode - Black celebration Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 28 04:47:29 <Cronus>	Request from MinionKingBob in #Radio on IRC: Shankar Mahadevan Breathless Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 28 05:10:26 <Cronus>	Request from Parsley in #Radio on IRC: the misfits-pumpkin head Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 28 05:12:35 <Cronus>	Request from MinionKingBob in #Radio on IRC: Martin Garrix Dragon Use !dedicate text to dedicate the song to the person on the IRC Channel
Dec 28 05:18:50 <Cronus>	Request from waytogo in #Radio on IRC: hey Use !dedicate text to dedicate the song to the person on the IRC Channel
