**** BEGIN LOGGING AT Wed Nov 23 21:03:06 2016

[LG has address eternally@love.friendship.faith.trust.peace.bliss]
Nov 23 21:03:13 <RammsteinFan>	not interested in radio?
Nov 23 22:54:26 <LG>	i told her most of the guys here are of that sort so better avoid other rooms as much as possible
Nov 23 22:54:32 <RammsteinFan>	sure
Nov 23 22:54:36 <LG>	today she spoke to two other guys
Nov 23 22:54:45 <LG>	continously, ignoring me completely
Nov 23 22:54:53 <RammsteinFan>	in main?
Nov 23 22:54:57 <LG>	no
Nov 23 22:55:01 <LG>	pvt chats
Nov 23 22:55:11 <RammsteinFan>	how do you know she spoke to 2 other guys?
Nov 23 22:55:17 <LG>	she told me
Nov 23 22:55:30 <RammsteinFan>	ah i see
Nov 23 22:55:48 <RammsteinFan>	so why she is angry with you?
Nov 23 22:55:51 <LG>	i asked to give some attention also... and i reminded her of what i told about guys in general
Nov 23 22:56:02 <LG>	give me*
Nov 23 22:56:13 <RammsteinFan>	i see
Nov 23 22:56:18 <LG>	she spoke if i spoke or she'd completely
Nov 23 22:56:24 <LG>	remain silent
Nov 23 22:56:33 <RammsteinFan>	what?
Nov 23 22:56:41 <RammsteinFan>	i dont understand last sentence
Nov 23 22:57:32 <LG>	she spoke to me if i intitated a conversation, if not, she'd just forget that i exist
Nov 23 22:57:43 <RammsteinFan>	hmm
Nov 23 22:57:45 <RammsteinFan>	i see
Nov 23 22:57:57 <LG>	and she spoke all nonsense
Nov 23 22:58:02 <LG>	and is angry
Nov 23 22:58:13 <LG>	and went fully silent
Nov 23 22:58:23 <RammsteinFan>	i see
Nov 23 22:58:55 <LG>	i don't know if those two guys will also end up like that dubai guy
Nov 23 22:58:57 <RammsteinFan>	how many fights have you had since you returned?
Nov 23 22:58:59 <LG>	:(
Nov 23 22:59:07 <LG>	1
Nov 23 22:59:13 <RammsteinFan>	why are you worried about those two guys?
Nov 23 22:59:22 <RammsteinFan>	they are big boys
Nov 23 22:59:31 <RammsteinFan>	they can take care of themselves
Nov 23 22:59:37 <LG>	that's true
Nov 23 23:00:06 <LG>	but i just warned her about what happened with that dubai guy can happen here too
Nov 23 23:00:14 <LG>	that's my fault
Nov 23 23:00:27 <RammsteinFan>	how is that your fault?
Nov 23 23:00:39 <LG>	and asking for a lil bit of attention towards me is also my fault
Nov 23 23:00:51 <LG>	that's the reason she's angry with me
Nov 23 23:00:53 <LG>	as hell
Nov 23 23:01:07 <RammsteinFan>	you know what you were getting into once she told you about her problems
Nov 23 23:01:08 <LG>	idk how that is my fault
Nov 23 23:01:19 <LG>	yes...
Nov 23 23:02:53 <LG>	i'd like to paste what all she spoke
Nov 23 23:02:58 <LG>	but it's dirty
Nov 23 23:03:15 <RammsteinFan>	up to you
Nov 23 23:03:22 <LG>	hmmm
**** ENDING LOGGING AT Wed Nov 23 23:21:12 2016

**** BEGIN LOGGING AT Tue Nov 29 18:25:55 2016

[LG has address eternally@love.friendship.faith.trust.peace.bliss]
Nov 29 18:25:55 <LG>	hi ramm
Nov 29 18:26:54 <RammsteinFan>	hey lg
Nov 29 18:27:47 <LG>	i saw on india channel welcome message that dragon has been hospitalised again
Nov 29 18:27:54 <LG>	know anything about it?
Nov 29 18:28:00 <RammsteinFan>	no i dont
Nov 29 18:28:12 <LG>	oh
Nov 29 18:28:16 <LG>	ok
Nov 29 18:28:22 <RammsteinFan>	some people were talking in here that hes getting surgery
Nov 29 18:28:39 <LG>	yes
Nov 29 18:29:43 <RammsteinFan>	ok
Nov 29 18:31:05 <RammsteinFan>	what recurring medical condition?
Nov 29 18:31:39 <LG>	no idea i just read what was posted there
Nov 29 18:33:22 <RammsteinFan>	ok
**** ENDING LOGGING AT Tue Nov 29 18:53:13 2016

**** BEGIN LOGGING AT Thu Dec 15 13:55:14 2016

[LG has address eternally@love.friendship.faith.trust.peace.bliss]
Dec 15 13:55:14 <LG>	hi DjAmmo
Dec 15 13:55:34 <DjAmmo>	hey lg
Dec 15 13:55:40 -NickServ-	This nickname is registered. Please choose a different nickname, or identify via /msg NickServ identify <password>.
Dec 15 13:55:40 -NickServ-	You have 30 seconds to identify to your nickname before it is changed.
Dec 15 13:55:45 <LG>	:)
Dec 15 13:55:51 >nickserv<	identify ****
Dec 15 13:55:51 -NickServ-	You have been logged out of DjAmmo.
Dec 15 13:55:51 -NickServ-	You are now identified for RammsteinFan.
Dec 15 13:55:56 <RammsteinFan>	:)
Dec 15 13:55:59 <RammsteinFan>	hows you?
Dec 15 13:56:08 <LG>	am as usual
Dec 15 13:56:13 <LG>	how're you?
Dec 15 13:56:18 <RammsteinFan>	im fine
Dec 15 13:56:28 <LG>	good
Dec 15 13:56:31 <RammsteinFan>	reached bglore today
Dec 15 13:56:48 <LG>	nice... reported to work?
Dec 15 13:56:55 <RammsteinFan>	no working from home today
Dec 15 13:57:00 <RammsteinFan>	tired from journey
Dec 15 13:57:16 <LG>	ok.. 
Dec 15 13:57:27 <LG>	flights are available, right?
Dec 15 13:57:50 <RammsteinFan>	yeah but didnt know exact date of my journey
Dec 15 13:57:53 <RammsteinFan>	too expensive
Dec 15 13:58:22 <LG>	hmmm.. most of them are blore to pune or mumbai via belgaum
Dec 15 13:59:03 <RammsteinFan>	yeah
Dec 15 14:00:39 <RammsteinFan>	you are working now right?
Dec 15 14:00:46 <LG>	yes
Dec 15 14:00:55 <RammsteinFan>	from home?
Dec 15 14:00:56 <LG>	skype and libra irc :D
Dec 15 14:00:59 <LG>	yes
Dec 15 14:01:05 <RammsteinFan>	lol
Dec 15 14:01:09 <RammsteinFan>	really?
Dec 15 14:01:13 <LG>	yeah
Dec 15 14:01:21 <LG>	am not even in blore..
Dec 15 14:01:21 <RammsteinFan>	how do i join that company?
Dec 15 14:01:26 <LG>	loool
Dec 15 14:01:28 <RammsteinFan>	oh you are not?
Dec 15 14:01:38 <LG>	nah.. bro's home
Dec 15 14:01:54 <RammsteinFan>	where ar you/
Dec 15 14:02:00 <LG>	tumkur
Dec 15 14:02:12 <RammsteinFan>	ah close enough 
Dec 15 14:02:32 <RammsteinFan>	i thought you were working
Dec 15 14:02:35 <LG>	yeah... as good as going to jayanagar from yeshvantpur
Dec 15 14:02:36 <LG>	i am
Dec 15 14:02:43 <RammsteinFan>	yep :)
Dec 15 14:03:03 <RammsteinFan>	some testing team right?
Dec 15 14:03:06 <LG>	am just overseeing a group of automation testers
Dec 15 14:03:08 <LG>	yes
Dec 15 14:03:17 <LG>	selenium - java
Dec 15 14:03:27 <RammsteinFan>	good..i thought my memory was failing me
Dec 15 14:03:31 <LG>	lol
Dec 15 14:03:35 <LG>	no chance
Dec 15 14:03:35 <RammsteinFan>	:)
Dec 15 14:03:54 <RammsteinFan>	my friend works in selenium
Dec 15 14:04:28 <LG>	it's good in one way... gives a finishing touch to my s/w career
Dec 15 14:04:39 <RammsteinFan>	good to know :)
Dec 15 14:04:48 <LG>	i've seen everything from system analysis to testing
Dec 15 14:04:52 <LG>	:)
Dec 15 14:05:02 <RammsteinFan>	nice
Dec 15 14:05:10 <RammsteinFan>	lot of experience
Dec 15 14:05:16 <LG>	yeah
Dec 15 14:05:20 <RammsteinFan>	always good
Dec 15 14:05:21 <LG>	too much :D
Dec 15 14:05:24 <RammsteinFan>	lol
Dec 15 14:05:36 <RammsteinFan>	so done with lunch?
Dec 15 14:05:46 <LG>	yes... just now.. you?
Dec 15 14:05:56 <RammsteinFan>	no..i ordered just now
Dec 15 14:06:04 <LG>	ok..
Dec 15 14:06:19 <LG>	pizza?
Dec 15 14:06:25 <RammsteinFan>	no
Dec 15 14:06:34 <RammsteinFan>	kati roll
Dec 15 14:06:44 <LG>	hmm k
Dec 15 14:06:47 <RammsteinFan>	why did you think i ordered pizza?
Dec 15 14:06:54 <LG>	lol
Dec 15 14:07:17 <LG>	i used to do that when i felt bored to go out
Dec 15 14:07:36 <RammsteinFan>	im fed up of pizza
Dec 15 14:07:54 <LG>	adds a lot of fat
Dec 15 14:08:10 <RammsteinFan>	that too..not that i am on a diet
Dec 15 14:08:20 <LG>	get married soon.. wife will cook for you..)
Dec 15 14:08:24 <RammsteinFan>	lol
Dec 15 14:08:29 <RammsteinFan>	sure sure
Dec 15 14:08:39 <RammsteinFan>	after you though :P
Dec 15 14:08:43 <LG>	lol
Dec 15 14:08:50 <LG>	my wife will never cook
Dec 15 14:08:58 <LG>	i gotta do that 
Dec 15 14:09:06 <RammsteinFan>	really? why is that?
Dec 15 14:09:26 <LG>	she doesn't know anything abt it
Dec 15 14:09:37 <RammsteinFan>	ah i see
Dec 15 14:09:43 <RammsteinFan>	she can learn :)
Dec 15 14:10:02 <LG>	won't.. she'll just eat
Dec 15 14:10:05 <RammsteinFan>	how are things right now?
Dec 15 14:10:20 <LG>	good and bad
Dec 15 14:10:38 <RammsteinFan>	i se
Dec 15 14:10:39 <RammsteinFan>	see
Dec 15 14:10:47 <LG>	she's into "you are az flirting with dew"
Dec 15 14:10:51 <RammsteinFan>	talked to her recently?
Dec 15 14:10:54 <RammsteinFan>	i see
Dec 15 14:10:55 <LG>	yeah
Dec 15 14:11:09 <RammsteinFan>	well no way to convince her buddy
Dec 15 14:11:19 <RammsteinFan>	she can join the room and verify
Dec 15 14:11:29 <LG>	how much ever i tell her or even swear on myself, she won't listen
Dec 15 14:11:47 <LG>	even then she won't get convinced..
Dec 15 14:12:09 <RammsteinFan>	thats tough buddy
Dec 15 14:12:10 <LG>	she says i'm using two machines simultaneously
Dec 15 14:12:29 <RammsteinFan>	is she convinced you have two or four hands?
Dec 15 14:12:30 <LG>	and i've fooled dew :(
Dec 15 14:12:34 <LG>	lol
Dec 15 14:13:01 <RammsteinFan>	i see
Dec 15 14:13:04 <RammsteinFan>	hmm
Dec 15 14:13:12 <RammsteinFan>	she back to her old name?
Dec 15 14:13:16 <LG>	difficult to deal with ppl who imagine things and believe them to be true
Dec 15 14:13:18 <LG>	nope
Dec 15 14:13:23 <LG>	guest nicks
Dec 15 14:13:33 <RammsteinFan>	true 
Dec 15 14:13:43 <RammsteinFan>	i see
Dec 15 14:13:51 <LG>	she's unregistered her nick
Dec 15 14:13:55 <RammsteinFan>	so she pinged you then?
Dec 15 14:14:01 <LG>	nope
Dec 15 14:14:11 <LG>	i found out through ip
Dec 15 14:14:14 <LG>	she speaks
Dec 15 14:14:17 <RammsteinFan>	ah ok
Dec 15 14:14:24 <RammsteinFan>	speaks?
Dec 15 14:14:30 <LG>	she can't overcome the feeling of love
Dec 15 14:14:36 <LG>	yeah speaks well
Dec 15 14:14:46 <RammsteinFan>	like you can hear her voice?
Dec 15 14:15:07 <LG>	noo
Dec 15 14:15:11 <RammsteinFan>	nvm i got it
Dec 15 14:15:13 <LG>	chats
Dec 15 14:15:17 <RammsteinFan>	yeah i got it now
Dec 15 14:15:48 <RammsteinFan>	you will stay in tumkur forever?
Dec 15 14:15:51 <LG>	lots of feeling is there... it'll stay for life.. just these confusions
Dec 15 14:16:08 <LG>	i vacated that house before going to himalayas
Dec 15 14:16:09 <RammsteinFan>	hmm sure i can understand
Dec 15 14:16:19 <RammsteinFan>	yeah i remember
Dec 15 14:16:26 <LG>	i thought i'd never come back
Dec 15 14:16:31 <RammsteinFan>	you rented it out?
Dec 15 14:16:44 <LG>	no.. i was in a rented flat
Dec 15 14:16:49 <RammsteinFan>	ah ok
Dec 15 14:16:59 <LG>	i gotta look for another one now
Dec 15 14:17:14 <LG>	cousin has one in mind, but it's a bit far from the office
Dec 15 14:17:23 <RammsteinFan>	ah i see
Dec 15 14:17:26 <LG>	it's a good flat, though
Dec 15 14:17:35 <RammsteinFan>	where in bglore?
Dec 15 14:17:42 <LG>	all i have to do is move in with my clothes
Dec 15 14:17:51 <LG>	off mysore road
Dec 15 14:17:58 <RammsteinFan>	i see
Dec 15 14:18:10 <RammsteinFan>	furnished eh? good
Dec 15 14:18:10 <LG>	rest is furnished
Dec 15 14:18:13 <LG>	yes
Dec 15 14:18:38 <RammsteinFan>	ok gotta go back to work now
Dec 15 14:18:38 <LG>	from water filter to geyser and washing machine... 2bhk
Dec 15 14:18:43 <LG>	swimming pool too
Dec 15 14:18:44 <LG>	ok :)
Dec 15 14:18:44 <RammsteinFan>	laters!
Dec 15 14:18:46 <LG>	laters
Dec 15 14:18:48 <RammsteinFan>	nice!
Dec 15 14:26:19 *	Disconnected (Connection reset by peer)
**** ENDING LOGGING AT Thu Dec 15 14:28:00 2016

**** BEGIN LOGGING AT Fri Dec 16 21:53:01 2016

[LG has address eternally@love.friendship.faith.trust.peace.bliss]
Dec 16 21:53:01 <LG>	i'll stop
Dec 16 21:53:07 <LG>	doesn't seem to improve
Dec 16 21:53:24 <RammsteinFan>	aww
Dec 16 21:53:32 <RammsteinFan>	why dont you restart your modem
Dec 16 21:54:20 <LG>	i'll try
Dec 16 21:54:31 <RammsteinFan>	ok
Dec 16 21:56:05 *	LG has quit (Quit: Reason filtered)
**** ENDING LOGGING AT Fri Dec 16 21:57:24 2016

**** BEGIN LOGGING AT Tue Dec 20 03:03:19 2016

[LG has address eternally@love.friendship.faith.trust.peace.bliss]
Dec 20 03:03:19 <LG>	sorry
Dec 20 03:03:20 <LG>	dc
Dec 20 03:03:31 <RammsteinFan>	its ok
Dec 20 03:04:16 <LG>	my hope was that if she at least listens to me scolding him it would convince her
Dec 20 03:04:29 <LG>	but it turned out in another way
Dec 20 03:05:01 <RammsteinFan>	i dont think you have anything to apologise about
Dec 20 03:05:21 *	Notify: LoverGuy is offline (LibraIRC)
Dec 20 03:05:23 <LG>	i did apologise, however
Dec 20 03:05:33 <LG>	fell on deaf ears
Dec 20 03:06:22 <RammsteinFan>	so shes just playing you
Dec 20 03:06:53 <LG>	i don't understand that.... she's sooo good at times
Dec 20 03:07:03 <LG>	and cold at others
Dec 20 03:07:23 <RammsteinFan>	isk man
Dec 20 03:07:27 <RammsteinFan>	idk
Dec 20 03:07:34 <LG>	hmmm
Dec 20 03:08:10 <LG>	let me see where it goes
Dec 20 03:08:56 <RammsteinFan>	sure
Dec 20 03:09:04 <LG>	i even pasted mine and az's conversation frm the logs
Dec 20 03:09:22 <LG>	she says i just created them by chatting with myself
Dec 20 03:10:01 <RammsteinFan>	hmm
Dec 20 03:10:12 <RammsteinFan>	well cant convince her
Dec 20 03:11:38 <LG>	:(
Dec 20 03:12:51 <RammsteinFan>	anyway im off to bed talk tmw...gn
Dec 20 03:12:59 <LG>	tc
Dec 20 03:13:00 <LG>	gn
Dec 20 03:13:08 <LG>	:)
**** ENDING LOGGING AT Tue Dec 20 03:32:16 2016

