**** BEGIN LOGGING AT Thu Oct 20 01:47:39 2016

[DeWdRoPs has address Chat@0985EB.170366.909CF5.B50CCC]
Oct 20 01:47:39 <DeWdRoPs>	Veeeeeeeer.
Oct 22 09:21:35 <DeWdRoPs>	Hope all is fine, Veer. Hugssssssssss. Have a lovely day. Take care and be jhakaaaaas :)
Oct 22 09:22:13 <RammsteinFan>	huuuugggssss :)
Oct 22 09:22:24 <RammsteinFan>	djing in radio room
Oct 22 09:22:37 <DeWdRoPs>	I know. Rock on :)
Oct 22 09:22:48 <RammsteinFan>	hope everything is fine with you too
Oct 22 09:22:56 <RammsteinFan>	lol how did you know? 
Oct 22 09:23:15 <DeWdRoPs>	I saw DjAmmo joining in and leaving the room. Lol :P
Oct 22 09:24:07 <RammsteinFan>	ah ok :)
Oct 22 09:24:27 <DeWdRoPs>	And yes. All is fine with Nazu :d
Oct 22 09:24:45 <RammsteinFan>	good :)
Oct 22 09:25:44 <DeWdRoPs>	I had a busy busy Friday and I loved that :P
Oct 22 09:26:08 <RammsteinFan>	cool!
Oct 22 09:26:11 <RammsteinFan>	what did you do?
Oct 22 09:26:47 <DeWdRoPs>	Been out almost the whole day. Visitng relatives. Longgggg drive. Ice creams :P
Oct 22 09:27:22 <RammsteinFan>	:)
Oct 22 09:27:24 <RammsteinFan>	good
Oct 22 09:28:04 <DeWdRoPs>	:):)
Oct 22 09:29:54 <RammsteinFan>	:)
Oct 22 09:30:44 <DeWdRoPs>	:):)
Oct 22 11:07:54 <DeWdRoPs>	Still there ?
Oct 22 11:08:19 <RammsteinFan>	im here
Oct 22 11:08:37 <DeWdRoPs>	Okie :)
Oct 22 11:09:36 <RammsteinFan>	whats up
Oct 22 11:09:38 <RammsteinFan>	hehehe
Oct 22 11:09:46 <DeWdRoPs>	I stood up to the Guest nick urf j-fred when he accused me today again of having connections with Dragon and having all the answers already.
Oct 22 11:10:03 <DeWdRoPs>	Yayyy. Nazu is strong now :)
Oct 22 11:10:07 <DeWdRoPs>	See. See. See.
Oct 22 11:10:18 <DeWdRoPs>	AZ and Deb supported though.
Oct 22 11:10:24 <DeWdRoPs>	Still, I did not get sad :)
Oct 22 11:12:08 <RammsteinFan>	good :)
Oct 22 11:12:30 <DeWdRoPs>	I understood his problem.
Oct 22 11:13:03 <DeWdRoPs>	He thinks people from the Middle East is uneducated and doesn't know anything about the West.
Oct 22 11:16:39 <RammsteinFan>	i see
Oct 22 11:17:01 <DeWdRoPs>	That is my conclusion. Lol
Oct 22 11:17:12 <RammsteinFan>	lol
Oct 22 11:17:18 <DeWdRoPs>	Because he keeps asking me how do I know so much about the west.
Oct 22 11:17:26 <RammsteinFan>	just ignore
Oct 22 11:17:26 <DeWdRoPs>	So I concluded like that.
Oct 22 11:17:29 <RammsteinFan>	hes a psycho
Oct 22 11:17:53 <RammsteinFan>	these people are not worth getting your bp up for
Oct 22 11:18:26 <DeWdRoPs>	Not at all, Veer. Today for the first time, I enjoyed replying. Lol. I felt strong :P
Oct 22 11:19:12 <DeWdRoPs>	I am really becoming 'devilish' :D
Oct 22 11:19:16 <DeWdRoPs>	Bwahahahaha
Oct 22 11:19:17 <RammsteinFan>	lol
Oct 22 11:19:23 <RammsteinFan>	good to hear that :)
Oct 22 11:19:39 <DeWdRoPs>	Yes. Feels good even to say that :P
Oct 22 11:20:41 <RammsteinFan>	:)
Oct 22 11:20:59 <DeWdRoPs>	Am I disturbing you, Veer ?
Oct 22 11:21:05 <RammsteinFan>	no no
Oct 22 11:21:12 <RammsteinFan>	last song for today playing now
Oct 22 11:21:21 <DeWdRoPs>	Lol. If the answer is yes too.. SUFFER :P
Oct 22 11:21:28 <RammsteinFan>	lol
Oct 22 11:22:53 <RammsteinFan>	wont suffer for long though
Oct 22 11:22:58 <RammsteinFan>	gotta get something to eat soon
Oct 22 11:23:00 <DeWdRoPs>	Will be back, Veer. Breakfast time. Granny woke upppp. Yesss. Been feeling hungry.
Oct 22 11:23:02 <RammsteinFan>	hungry!!!
Oct 22 11:23:06 <RammsteinFan>	ok
Oct 22 11:23:09 <RammsteinFan>	see you later!
Oct 22 11:23:10 <DeWdRoPs>	Me too. Same pinch no back pinch :P
Oct 22 11:23:12 <RammsteinFan>	hugs
Oct 22 11:23:16 <DeWdRoPs>	Hugsssssssssssss :)
Oct 22 11:23:19 <RammsteinFan>	:)
Oct 22 11:23:21 <DeWdRoPs>	See you sooooooooooooooooooon :)
Oct 22 11:23:54 *	Notify: DeWdRoPs is offline (LibraIRC)
Oct 22 11:23:54 *	DeWdRoPs has quit (Quit: Reason filtered)
**** ENDING LOGGING AT Sat Oct 22 11:28:42 2016

**** BEGIN LOGGING AT Sat Oct 22 16:19:13 2016

[DeWdRoPs has address Chat@0985EB.170366.909CF5.B50CCC]
Oct 22 16:19:13 <DeWdRoPs>	Dj-ing ?
Oct 22 19:42:07 *	Disconnected (Connection reset by peer)
**** BEGIN LOGGING AT Sun Oct 23 03:19:21 2016

[DeWdRoPs has address Chat@0985EB.170366.909CF5.B50CCC]
Oct 23 03:19:25 <RammsteinFan>	she left
Oct 23 03:19:35 <DeWdRoPs>	Hmmm !
Oct 23 03:19:37 <RammsteinFan>	she was angry at me
Oct 23 03:19:41 <DeWdRoPs>	She felt bad about it !
Oct 23 03:19:44 <RammsteinFan>	coz i didnt say thanks to her
Oct 23 03:19:50 <DeWdRoPs>	I know. 
Oct 23 03:19:51 <RammsteinFan>	it was an honest mistake
Oct 23 03:19:57 <RammsteinFan>	i really didnt see it
Oct 23 03:20:06 <RammsteinFan>	i messaged her
Oct 23 03:20:08 <DeWdRoPs>	I know her character. Hnece I told you, Veer.
Oct 23 03:20:13 <DeWdRoPs>	Hence*
Oct 23 03:20:17 <RammsteinFan>	she said all you people can think of is dew
Oct 23 03:20:26 <RammsteinFan>	you shouldnt have said it in main
Oct 23 03:20:28 <RammsteinFan>	just let it go
Oct 23 03:20:33 <DeWdRoPs>	I am sorry.
Oct 23 03:20:38 <RammsteinFan>	its fine
Oct 23 03:20:46 <RammsteinFan>	people!
Oct 23 03:20:47 <DeWdRoPs>	I did not think that much. 
Oct 23 03:20:53 <RammsteinFan>	taking slight at such little things
Oct 23 03:21:04 <DeWdRoPs>	I know it because she always gets upset with AZ !
Oct 23 03:21:46 <DeWdRoPs>	I am really sorry, Veer.
Oct 23 03:22:32 <RammsteinFan>	she does?
Oct 23 03:22:40 <RammsteinFan>	for what?
Oct 23 03:22:52 <DeWdRoPs>	Yes. If he says Hi to me and does not Hi to her.
Oct 23 03:22:58 <DeWdRoPs>	say*
Oct 23 03:23:26 <RammsteinFan>	ah i see
Oct 23 03:23:29 <RammsteinFan>	anyway let it be
Oct 23 03:23:54 <DeWdRoPs>	I am sorry, okie.
Oct 23 03:24:05 <DeWdRoPs>	After I said it, I realized I shouldn't have.
Oct 23 03:24:12 <DeWdRoPs>	I could have messaged you and told you.
Oct 23 03:25:13 <RammsteinFan>	its alright
Oct 23 03:25:17 <RammsteinFan>	she like that
Oct 23 03:25:33 <RammsteinFan>	she going to take slight even if you dont say it
Oct 23 03:26:29 <DeWdRoPs>	Hmmm.
Oct 23 03:26:47 <DeWdRoPs>	Yes. She must have felt bad about it still. 
Oct 23 03:26:52 <DeWdRoPs>	But I am feeling bad.
Oct 23 03:26:55 <DeWdRoPs>	I am sorry.
Oct 23 03:27:07 <DeWdRoPs>	Will you forgive me ?
Oct 23 03:28:09 <RammsteinFan>	forget about it dew
Oct 23 03:28:30 <RammsteinFan>	like i said she took slight when it was an honest mistake
Oct 23 03:28:34 <RammsteinFan>	not your fault
Oct 23 03:29:12 <RammsteinFan>	dont worry
Oct 23 03:29:17 <RammsteinFan>	be happy
Oct 23 03:29:21 <RammsteinFan>	bobby mcferrin :)
Oct 23 03:29:53 <DeWdRoPs>	Yes. But I could have messaged you and told you. Stupid me !
Oct 23 03:30:28 <RammsteinFan>	its fine
Oct 23 03:30:47 <RammsteinFan>	no use grinding on it now
Oct 23 03:30:50 <DeWdRoPs>	The bitterness is not towards you.
Oct 23 03:30:57 <DeWdRoPs>	It's towards me. Lol
Oct 23 03:31:51 <RammsteinFan>	i know :)
Oct 23 03:33:44 <DeWdRoPs>	Hugssssssss, Veer :)
Oct 23 03:35:08 <RammsteinFan>	huggggsss :)
Oct 23 03:42:47 *	DeWdRoPs has quit (Quit: Reason filtered)
**** ENDING LOGGING AT Sun Oct 23 04:08:09 2016

**** BEGIN LOGGING AT Sun Oct 23 06:22:29 2016

[DeWdRoPs has address Chat@0985EB.170366.909CF5.B50CCC]
Oct 23 06:22:29 <DeWdRoPs>	Veeeeer !
Oct 23 06:22:40 <RammsteinFan>	yeah?
Oct 23 06:23:32 <DeWdRoPs>	That guy came back again. And called me so many bad words. F***** cheat, B***** and kept on claiming that I am Dragon's girl and he gave me all the answers.
Oct 23 06:23:37 <DeWdRoPs>	j-fred
Oct 23 06:25:16 <RammsteinFan>	ask dragon to ban him
Oct 23 06:25:25 <RammsteinFan>	dragon had banend him earlier
Oct 23 06:25:33 <RammsteinFan>	guess he removed the ban now
Oct 23 06:25:40 <DeWdRoPs>	It is not going to stop him.
Oct 23 06:25:51 <RammsteinFan>	so just ignore
Oct 23 06:26:11 <RammsteinFan>	dragon can ban his ip
Oct 23 06:26:16 <RammsteinFan>	he cannot join then
Oct 23 06:26:17 <DeWdRoPs>	I called him Trump. That is the only name I could think of.
Oct 23 06:26:26 <RammsteinFan>	dont call him anything
Oct 23 06:26:28 <RammsteinFan>	just ignore
Oct 23 06:26:35 <RammsteinFan>	that will get him more irritated
Oct 23 06:26:39 <RammsteinFan>	and he will leave
Oct 23 06:26:41 <DeWdRoPs>	But how long will I keep hearing all this, Veer ?
Oct 23 06:26:46 <DeWdRoPs>	Everytime I say an aswer
Oct 23 06:26:48 <DeWdRoPs>	n*
Oct 23 06:26:54 <DeWdRoPs>	He would call me some name.
Oct 23 06:27:14 <RammsteinFan>	ignore him by right clicking him on his name and tehn selct ignore
Oct 23 06:27:24 <RammsteinFan>	you wont be able to see what he types after taht
Oct 23 06:27:24 <DeWdRoPs>	Today he just crossed all the limits. He keeps blaming when I am there and behind my back too.
Oct 23 06:27:30 <DeWdRoPs>	I couldn't take it.
Oct 23 06:27:33 <DeWdRoPs>	Hmmm.
Oct 23 06:29:06 <RammsteinFan>	here comes dragon 
Oct 23 06:29:08 <RammsteinFan>	tell him now
Oct 23 06:29:36 <DeWdRoPs>	Yes. I will.
Oct 23 07:01:31 <DeWdRoPs>	I told Dragon everything, Veer. He banned fred's ip.
Oct 23 07:02:00 <RammsteinFan>	ok good
Oct 23 07:02:15 <DeWdRoPs>	Now hugssss ?
Oct 23 07:02:26 <RammsteinFan>	hugsss :)
Oct 23 07:02:38 <DeWdRoPs>	Hugsssssssssss :)
Oct 23 07:19:31 <RammsteinFan>	when you respond to az's stupid statements it just makes him do it more
Oct 23 07:20:20 <DeWdRoPs>	Oh okie. But, hmmmm.
Oct 23 07:20:54 <RammsteinFan>	but what?
Oct 23 07:21:08 <DeWdRoPs>	Nothing, Veer. I did not think that much !
Oct 23 07:21:51 <RammsteinFan>	ok
Oct 23 07:22:18 <RammsteinFan>	havent you seen how kat and others ignore him?
Oct 23 07:22:18 <DeWdRoPs>	Are you mad at me for some reason ?
Oct 23 07:22:44 <RammsteinFan>	do it if you like...im not telling you to what to do...but just saying
Oct 23 07:22:55 <RammsteinFan>	no im not mad at you
Oct 23 07:22:57 <RammsteinFan>	im mad at him
Oct 23 07:23:00 <DeWdRoPs>	Yes, Veer. I do understand.
Oct 23 07:23:27 <RammsteinFan>	but do what you like...
Oct 23 07:23:33 <RammsteinFan>	im not telling you waht ot do and what not 
Oct 23 07:23:36 <RammsteinFan>	to
Oct 23 07:25:17 <DeWdRoPs>	Veer. I understand. Dad promise, I do.
Oct 23 07:26:30 <RammsteinFan>	ok
Oct 23 07:26:59 <DeWdRoPs>	Veer. What is wrong ? Did he do something wrong ?
Oct 23 07:28:28 <RammsteinFan>	let it go
Oct 23 07:28:46 <RammsteinFan>	im not mad at you...
Oct 23 07:28:52 <DeWdRoPs>	Talk to me, Veer. You don't trust me ?
Oct 23 07:28:58 <RammsteinFan>	so you dont have to worry
Oct 23 07:29:20 <RammsteinFan>	just his behavior...its coz of him trisha got mad at me
Oct 23 07:29:28 <DeWdRoPs>	Is it because of Nazu ? Am I involved ?
Oct 23 07:29:32 <DeWdRoPs>	trisha ?
Oct 23 07:29:36 <RammsteinFan>	no you are not involved
Oct 23 07:29:42 <RammsteinFan>	yeah earlier
Oct 23 07:30:01 <DeWdRoPs>	When she left like that ?
Oct 23 07:30:05 <RammsteinFan>	he pinged me the other day and talked nonsense
Oct 23 07:30:34 <RammsteinFan>	i come here to have fun...i dont need extra drama 
Oct 23 07:30:50 <DeWdRoPs>	Aren't we all here for that ?
Oct 23 07:31:07 <RammsteinFan>	yes we are
Oct 23 07:31:16 <RammsteinFan>	like i said let it go
Oct 23 07:31:37 <DeWdRoPs>	I really don't know what's happening.
Oct 23 07:31:46 <RammsteinFan>	so then just let it go
Oct 23 07:31:46 <DeWdRoPs>	And nobody will tell me anything clearly.
Oct 23 07:31:57 <RammsteinFan>	like i said let it go
Oct 23 07:32:05 <DeWdRoPs>	Okie.
Oct 23 07:37:28 <RammsteinFan>	and dont talk to az about it
Oct 23 07:37:44 <DeWdRoPs>	I am not talking to anyone, Veer.
Oct 23 07:37:58 <RammsteinFan>	are you mad now?
Oct 23 07:38:37 <DeWdRoPs>	No, Veer.
Oct 23 07:38:43 <RammsteinFan>	you arent playing
Oct 23 07:38:57 <DeWdRoPs>	I will be leaving.
Oct 23 07:39:10 <RammsteinFan>	hmm ok
Oct 23 07:39:20 <RammsteinFan>	you sure you are not mad at me?
Oct 23 07:39:26 <DeWdRoPs>	All I can say is I am sorry.
Oct 23 07:39:36 <RammsteinFan>	why?
Oct 23 07:39:39 <DeWdRoPs>	I don't know what happened, but.. 
Oct 23 07:39:44 <DeWdRoPs>	I don't know, Veer.
Oct 23 07:39:45 <RammsteinFan>	you dont need to apologise for his behviour
Oct 23 07:40:35 <RammsteinFan>	you didnt do anything
Oct 23 07:40:48 <RammsteinFan>	so why do YOU have to apologise?
Oct 23 07:40:53 <RammsteinFan>	we are cool :)
Oct 23 07:40:58 <DeWdRoPs>	I don't know why everyone hate me so much !
Oct 23 07:41:02 <RammsteinFan>	looool
Oct 23 07:41:12 <RammsteinFan>	noone hates you cmon!
Oct 23 07:41:21 <RammsteinFan>	its not like that at all
Oct 23 07:41:24 <RammsteinFan>	i like you :)
Oct 23 07:42:32 <DeWdRoPs>	I like you too, Veer.
Oct 23 07:42:50 <DeWdRoPs>	But when you have something going on inside your mind and then talk to me.. It shows.
Oct 23 07:43:42 <RammsteinFan>	what do you mean?
Oct 23 07:43:48 <DeWdRoPs>	You like Poets of the Fall ?
Oct 23 07:43:52 <RammsteinFan>	yes
Oct 23 07:43:53 <RammsteinFan>	i do
Oct 23 07:43:57 <DeWdRoPs>	I love them too.
Oct 23 07:44:04 <DeWdRoPs>	Carnival of Rust.. My fav
Oct 23 07:44:05 <RammsteinFan>	carnival of rust 
Oct 23 07:44:08 <RammsteinFan>	o snap!
Oct 23 07:44:10 <RammsteinFan>	lol
Oct 23 07:44:12 <DeWdRoPs>	Lol
Oct 23 07:44:14 <RammsteinFan>	me too ;)
Oct 23 07:44:33 <DeWdRoPs>	Me 3333.
Oct 23 07:45:16 <DeWdRoPs>	And I meant, you were mad at AZ and you wanted to tell me not to encourage him. Isn't it ?
Oct 23 07:45:49 <RammsteinFan>	i just wanted you to know...
Oct 23 07:46:24 <DeWdRoPs>	Lately so much have been happening. So, I don't know!
Oct 23 07:46:34 <RammsteinFan>	i dont know either
Oct 23 07:46:57 <DeWdRoPs>	So same pinch no back pinch. Hugssssss :)
Oct 23 07:47:19 <RammsteinFan>	trisha got mad at me just coz i didnt say ty to her too...
Oct 23 07:47:23 <RammsteinFan>	you said she was mad at az
Oct 23 07:47:42 <RammsteinFan>	so i was mad at him
Oct 23 07:47:57 <DeWdRoPs>	Well, it is her character. 
Oct 23 07:48:28 <RammsteinFan>	kinda
Oct 23 07:48:39 <RammsteinFan>	but what he does isnt good too
Oct 23 07:48:41 <RammsteinFan>	on main
Oct 23 07:48:54 <DeWdRoPs>	Always taking my name ?
Oct 23 07:48:59 <RammsteinFan>	yes
Oct 23 07:49:07 <RammsteinFan>	if its funny no one bothers
Oct 23 07:49:09 <RammsteinFan>	i dont mind
Oct 23 07:49:12 <RammsteinFan>	she does
Oct 23 07:49:23 <DeWdRoPs>	I get bothered too, at times.. Veer.
Oct 23 07:49:30 <DeWdRoPs>	And I keep telling him not to do that.
Oct 23 07:49:30 <RammsteinFan>	so tell him to stop then
Oct 23 07:49:39 <RammsteinFan>	or just stop responding
Oct 23 07:49:40 <RammsteinFan>	see!
Oct 23 07:49:43 <RammsteinFan>	what i mean!
Oct 23 07:49:49 <RammsteinFan>	you get bothered too dont yo
Oct 23 07:49:52 <RammsteinFan>	you*
Oct 23 07:50:12 <DeWdRoPs>	Yes. And I always get mad at hime for taking my name every now and then.
Oct 23 07:50:16 <DeWdRoPs>	him*
Oct 23 07:50:29 <RammsteinFan>	so just stop respoding to him in main
Oct 23 07:50:39 <RammsteinFan>	have you seen how kat handles him?
Oct 23 07:50:43 <DeWdRoPs>	Okie. I will be careful.
Oct 23 07:50:46 <DeWdRoPs>	Yes.
Oct 23 07:53:08 <DeWdRoPs>	Take care, Veer. I am sorry if I disappointed you !!
Oct 23 07:53:44 <RammsteinFan>	oh cmon
Oct 23 07:53:48 <RammsteinFan>	nothing like that ok
Oct 23 07:53:59 <DeWdRoPs>	Okie .
Oct 23 07:54:01 <RammsteinFan>	dissappointed? no cmon
Oct 23 07:54:03 <DeWdRoPs>	Have a great Sunday.
Oct 23 07:54:33 *	DeWdRoPs has quit (Quit: Reason filtered)
**** ENDING LOGGING AT Sun Oct 23 08:01:57 2016

**** BEGIN LOGGING AT Mon Oct 24 05:31:10 2016

[DeWdRoPs has address Chat@0985EB.170366.909CF5.B50CCC]
Oct 24 05:31:19 <RammsteinFan>	hows the milkshake doing today? :)
Oct 24 05:31:24 <RammsteinFan>	hot or cold? :P
Oct 24 05:32:10 <DeWdRoPs>	Lol Veer. Been cold since the last couple of days. :)
Oct 24 05:32:54 <RammsteinFan>	ahaah 
Oct 24 05:33:06 <DeWdRoPs>	How was your Sunday ?
Oct 24 05:33:15 <RammsteinFan>	umm not bad
Oct 24 05:33:51 <DeWdRoPs>	Ah, okie :)
Oct 24 05:36:54 <RammsteinFan>	:)
Oct 24 05:37:04 <RammsteinFan>	how was yours?
Oct 24 05:37:19 <DeWdRoPs>	My Sunday. Hmmm.
Oct 24 05:37:25 <DeWdRoPs>	I am down with fever.
Oct 24 05:37:32 <RammsteinFan>	oh no!
Oct 24 05:37:40 <RammsteinFan>	hmm? hmmm
Oct 24 05:37:47 <RammsteinFan>	how you doing now?
Oct 24 05:38:28 <DeWdRoPs>	I am better, Veer. But I feel weak and tired. Slept through the whole day.
Oct 24 05:38:40 <RammsteinFan>	i see
Oct 24 05:38:46 <RammsteinFan>	well take care of yourself
Oct 24 05:38:56 <RammsteinFan>	no more milkshakes :)
Oct 24 05:39:01 <DeWdRoPs>	Yes. I am taking care.
Oct 24 05:39:03 <DeWdRoPs>	I know.
Oct 24 05:39:11 <RammsteinFan>	hmm ok
Oct 24 05:39:14 <DeWdRoPs>	I have to be fine soon.
Oct 24 05:39:25 <DeWdRoPs>	I can't tolerate/suffer the separation.
Oct 24 05:39:26 <RammsteinFan>	for college?
Oct 24 05:39:33 <RammsteinFan>	separation?
Oct 24 05:39:39 <DeWdRoPs>	No. From the milkshakes. Lol :P
Oct 24 05:39:45 <RammsteinFan>	:)
Oct 24 05:39:51 <RammsteinFan>	of course
Oct 24 05:39:58 <DeWdRoPs>	Jokes apart. I have to be fine soon.
Oct 24 05:40:07 <RammsteinFan>	ofcourse
Oct 24 05:40:15 <DeWdRoPs>	I wanted to write to you.
Oct 24 05:40:19 <RammsteinFan>	we all want you be to be fine soon
Oct 24 05:40:27 <RammsteinFan>	damn
Oct 24 05:40:36 <RammsteinFan>	still sleepy
Oct 24 05:40:39 <RammsteinFan>	aha?
Oct 24 05:40:42 <DeWdRoPs>	What happened ?
Oct 24 05:40:43 <RammsteinFan>	so why didnt you?
Oct 24 05:40:45 <DeWdRoPs>	Then sleep.
Oct 24 05:40:51 <RammsteinFan>	its still 6 here
Oct 24 05:40:57 <RammsteinFan>	no i had good sleep ytd
Oct 24 05:41:01 <DeWdRoPs>	I don't know why I didn't.
Oct 24 05:41:05 <RammsteinFan>	ok
Oct 24 05:41:07 <DeWdRoPs>	Ah. That's good then :)
Oct 24 05:41:12 <RammsteinFan>	yes it is
Oct 24 05:41:35 <RammsteinFan>	when i get good sleep i can tell the next day :)
Oct 24 05:41:43 <RammsteinFan>	thisis one of those days 
Oct 24 05:41:59 <RammsteinFan>	so why arent you in bed drinking soup?
Oct 24 05:42:09 <DeWdRoPs>	That is great as it is the starting of a new week :)
Oct 24 05:42:17 <DeWdRoPs>	I slept a LOT.
Oct 24 05:42:21 <DeWdRoPs>	I had soup too.
Oct 24 05:42:26 <RammsteinFan>	good!
Oct 24 05:42:28 <DeWdRoPs>	I had warm milk and honey too.
Oct 24 05:42:32 <RammsteinFan>	good
Oct 24 05:42:37 <DeWdRoPs>	And now I had a coffee too.
Oct 24 05:42:39 <RammsteinFan>	some brandy too? :P
Oct 24 05:42:49 <RammsteinFan>	if you have a cold stay away from coffee
Oct 24 05:42:59 <RammsteinFan>	tea is ok but coffee is bad
Oct 24 05:42:59 <DeWdRoPs>	No brandy. Lol
Oct 24 05:43:04 <DeWdRoPs>	Really ?
Oct 24 05:43:11 <RammsteinFan>	yes
Oct 24 05:43:20 <DeWdRoPs>	Hmmm. But I don't have cold. It's fever.
Oct 24 05:43:20 <RammsteinFan>	coffee makes colds even worse
